name,a,elements,crystal_system,point_group,formula,plane,num_elements
TaC (111),6.318416831720254,"C, Ta",Cubic,m-3m,TaC,(111),2
TaCo3 (111),5.123303773046776,"Co, Ta",Cubic,m-3m,TaCo3,(111),2
TaCu3S4 (111),7.759163928244876,"Cu, S, Ta",Cubic,-43m,TaCu3S4,(111),3
TaCu3Se4 (111),8.015166224950672,"Cu, Se, Ta",Cubic,-43m,TaCu3Se4,(111),3
TaCu3Te4 (111),8.428447892974871,"Cu, Ta, Te",Cubic,-43m,TaCu3Te4,(111),3
TaCuRh2 (111),8.629103607842962,"Cu, Rh, Ta",Cubic,m-3m,TaCuRh2,(111),3
TaFe (0001),4.847253661970996,"Fe, Ta",Trigonal,-3m,TaFe,(0001),2
TaFe2 (0001),4.864792067075884,"Fe, Ta",Hexagonal,6/mmm,TaFe2,(0001),2
TaFe4W (0001),4.770488624121879,"Fe, Ta, W",Trigonal,-3m,TaFe4W,(0001),3
TaFeB (0001),5.9785774316352684,"B, Fe, Ta",Hexagonal,-6m2,TaFeB,(0001),3
TaFeRu2 (111),8.707171081486957,"Fe, Ru, Ta",Cubic,m-3m,TaFeRu2,(111),3
TaGaCo2 (111),8.362388454023533,"Co, Ga, Ta",Cubic,m-3m,TaGaCo2,(111),3
TaGaFe2 (111),8.291262625334388,"Fe, Ga, Ta",Cubic,m-3m,TaGaFe2,(111),3
TaGaOs2 (111),8.779155621896443,"Ga, Os, Ta",Cubic,m-3m,TaGaOs2,(111),3
TaGaRu2 (111),8.707842979058595,"Ga, Ru, Ta",Cubic,m-3m,TaGaRu2,(111),3
TaH2 (111),6.386551346399693,"H, Ta",Cubic,m-3m,TaH2,(111),2
TaHg3F6 (0001),5.1306401114900435,"F, Hg, Ta",Trigonal,-3m,TaHg3F6,(0001),3
TaInRu2 (111),8.964648407646465,"In, Ru, Ta",Cubic,m-3m,TaInRu2,(111),3
TaInS2 (0001),3.3157507390767402,"In, S, Ta",Hexagonal,-6m2,TaInS2,(0001),3
TaInSe2 (0001),3.440979206850838,"In, Se, Ta",Hexagonal,-6m2,TaInSe2,(0001),3
TaIr3 (111),5.522939906539674,"Ir, Ta",Cubic,m-3m,TaIr3,(111),2
TaMn2 (0001),4.951691887279866,"Mn, Ta",Hexagonal,6/mmm,TaMn2,(0001),2
TaMn2Al (111),8.434682764591578,"Al, Mn, Ta",Cubic,m-3m,TaMn2Al,(111),3
TaMnGe (0001),6.562764907042385,"Ge, Mn, Ta",Hexagonal,-6m2,TaMnGe,(0001),3
TaMnRu2 (111),8.743875669845757,"Mn, Ru, Ta",Cubic,m-3m,TaMnRu2,(111),3
TaN (0001),5.208495496009835,"N, Ta",Hexagonal,-6m2,TaN,(0001),2
TaNbRe2 (111),9.046790060852697,"Nb, Re, Ta",Cubic,m-3m,TaNbRe2,(111),3
